title,year,rating,views,genre,duration,director
Wild Strawberries,1957,8.1/10,108K,Drama,1h 31m,Ingmar Bergman
The General,1926,8.2/10,92K,Action,1h 7m,Clyde Bruckman
The Third Man,1949,8.1/10,173K,Film-Noir,1h 33m,Carol Reed
Gone Girl,2014,8.1/10,980K,Drama,2h 29m,David Fincher
Ben-Hur,1959,8.1/10,240K,Adventure,3h 32m,William Wyler
Harry Potter and the Deathly Hallows: Part 2,2011,8.1/10,873K,Adventure,2h 10m,David Yates
12 Years a Slave,2013,8.1/10,701K,Biography,2h 14m,Steve McQueen
Children of Heaven,1997,8.2/10,75K,Drama,1h 29m,Majid Majidi
Blade Runner,1982,8.1/10,769K,Action,1h 57m,Ridley Scott
The Gold Rush,1925,8.2/10,112K,Adventure,1h 35m,Charles Chaplin
On the Waterfront,1954,8.1/10,156K,Crime,1h 48m,Elia Kazan
Million Dollar Baby,2004,8.1/10,688K,Drama,2h 12m,Clint Eastwood
Catch Me If You Can,2002,8.1/10,979K,Biography,2h 21m,Steven Spielberg
Gran Torino,2008,8.1/10,776K,Drama,1h 56m,Clint Eastwood
Fargo,1996,8.1/10,678K,Crime,1h 38m,Joel Coen
My Neighbor Totoro,1988,8.1/10,340K,Animation,1h 26m,Hayao Miyazaki
Warrior,2011,8.2/10,473K,Action,2h 20m,Gavin O'Connor
Prisoners,2013,8.1/10,710K,Crime,2h 33m,Denis Villeneuve
The Bridge on the River Kwai,1957,8.2/10,222K,Adventure,2h 41m,David Lean
Trainspotting,1996,8.1/10,687K,Drama,1h 33m,Danny Boyle
Before Sunrise,1995,8.1/10,309K,Drama,1h 41m,Richard Linklater
"Three Billboards Outside Ebbing, Missouri",2017,8.1/10,507K,Comedy,1h 55m,Martin McDonagh
The Secret in Their Eyes,2009,8.2/10,211K,Drama,2h 9m,Juan José Campanella
Dial M for Murder,1954,8.2/10,177K,Crime,1h 45m,Alfred Hitchcock
Howl's Moving Castle,2004,8.2/10,395K,Animation,1h 59m,Hayao Miyazaki
"Lock, Stock and Two Smoking Barrels",1998,8.2/10,583K,Action,1h 47m,Guy Ritchie
V for Vendetta,2005,8.2/10,1.1M,Action,2h 12m,James McTeigue
Gone with the Wind,1939,8.2/10,316K,Drama,3h 58m,Victor Fleming
Inside Out,2015,8.2/10,712K,Animation,1h 35m,Pete Docter
Raging Bull,1980,8.2/10,355K,Biography,2h 9m,Martin Scorsese
Chinatown,1974,8.2/10,328K,Drama,2h 10m,Roman Polanski
The Elephant Man,1980,8.2/10,242K,Biography,2h 4m,David Lynch
The Thing,1982,8.2/10,426K,Horror,1h 49m,John Carpenter
No Country for Old Men,2007,8.2/10,971K,Crime,2h 2m,Ethan Coen
Kill Bill: Vol. 1,2003,8.2/10,1.1M,Action,1h 51m,Quentin Tarantino
The Great Escape,1963,8.2/10,245K,Adventure,2h 52m,John Sturges
Jurassic Park,1993,8.2/10,986K,Action,2h 7m,Steven Spielberg
Finding Nemo,2003,8.2/10,1M,Animation,1h 40m,Andrew Stanton
Rashomon,1950,8.2/10,169K,Crime,1h 28m,Akira Kurosawa
The Treasure of the Sierra Madre,1948,8.2/10,126K,Adventure,2h 6m,John Huston
Monty Python and the Holy Grail,1975,8.2/10,542K,Adventure,1h 31m,Terry Gilliam
Yojimbo,1961,8.2/10,124K,Action,1h 50m,Akira Kurosawa
Shutter Island,2010,8.2/10,1.3M,Mystery,2h 18m,Martin Scorsese
The Truman Show,1998,8.2/10,1.1M,Comedy,1h 43m,Peter Weir
A Beautiful Mind,2001,8.2/10,932K,Biography,2h 15m,Ron Howard
Spider-Man: No Way Home,2021,8.3/10,748K,Action,2h 28m,Jon Watts
There Will Be Blood,2007,8.2/10,587K,Drama,2h 38m,Paul Thomas Anderson
Unforgiven,1992,8.2/10,413K,Drama,2h 10m,Clint Eastwood
The Sixth Sense,1999,8.2/10,991K,Drama,1h 47m,M. Night Shyamalan
Pan's Labyrinth,2006,8.2/10,669K,Drama,1h 58m,Guillermo del Toro
Casino,1995,8.2/10,520K,Crime,2h 58m,Martin Scorsese
Judgment at Nuremberg,1961,8.3/10,78K,Drama,2h 59m,Stanley Kramer
Ran,1985,8.2/10,126K,Action,2h 42m,Akira Kurosawa
Green Book,2018,8.2/10,490K,Biography,2h 10m,Peter Farrelly
The Wolf of Wall Street,2013,8.2/10,1.4M,Biography,3h,Martin Scorsese
All About Eve,1950,8.2/10,132K,Drama,2h 18m,Joseph L. Mankiewicz
The Father,2020,8.2/10,153K,Drama,1h 37m,Florian Zeller
Some Like It Hot,1959,8.2/10,268K,Comedy,2h 1m,Billy Wilder
Downfall,2004,8.2/10,357K,Biography,2h 36m,Oliver Hirschbiegel
Dangal,2016,8.3/10,192K,Action,2h 41m,Nitesh Tiwari
Batman Begins,2005,8.2/10,1.5M,Action,2h 20m,Christopher Nolan
The Kid,1921,8.3/10,127K,Comedy,1h 8m,Charles Chaplin
For a Few Dollars More,1965,8.2/10,258K,Western,2h 12m,Sergio Leone
1917,2019,8.2/10,586K,Action,1h 59m,Sam Mendes
Like Stars on Earth,2007,8.4/10,194K,Drama,2h 45m,Aamir Khan
Indiana Jones and the Last Crusade,1989,8.2/10,754K,Action,2h 7m,Steven Spielberg
Bicycle Thieves,1948,8.3/10,164K,Drama,1h 29m,Vittorio De Sica
L.A. Confidential,1997,8.2/10,584K,Crime,2h 18m,Curtis Hanson
Die Hard,1988,8.2/10,876K,Action,2h 12m,John McTiernan
Snatch,2000,8.2/10,855K,Comedy,1h 42m,Guy Ritchie
Metropolis,1927,8.3/10,175K,Drama,2h 33m,Fritz Lang
A Separation,2011,8.3/10,246K,Drama,2h 3m,Asghar Farhadi
Taxi Driver,1976,8.2/10,831K,Crime,1h 54m,Martin Scorsese
Heat,1995,8.3/10,654K,Action,2h 50m,Michael Mann
